silo_ID;destination_cod;destination_mun;destination_state;destination_biome;destination_lat;destination_long;destination_cnpj;destination_company;destination_dt;company_group;asset_risk
1;BR-1100304;VILHENA;RO;AMAZON;-12.453;-60.194;95380108091.0;ADAIR JOSE MENEGOL;b1.5;other;At-risk
2;BR-1100304;VILHENA;RO;AMAZON;-12.453;-60.194;22659824827.0;CARLOS ALBERTO MOREIRA MODOTTE;b1.5;other;At-risk
3;BR-1100304;VILHENA;RO;AMAZON;-12.744;-60.121;5110000000000.0;MULTIFOS NUTRICAO ANIMAL LTDA;b1.5;other;At-risk
4;BR-1100304;VILHENA;RO;AMAZON;-12.764;-60.092;5540000000000.0;INVEST INDUSTRIA E COMERCIO DE CEREAIS LTDA  ME;b1.4, b1.5;other;At-risk
5;BR-1100304;VILHENA;RO;AMAZON;-12.523;-60.071;20374070253.0;CLAIDES LAZARETTI MASUTTI;b1.5;other;At-risk
6;BR-5102686;CAMPOS DE JULIO;MT;CERRADO;-13.866;-59.324;55899692049.0;VALERIO VALENTIM BARRACHINI;b1.5;other;At-risk
7;BR-5102686;CAMPOS DE JULIO;MT;CERRADO;-13.758;-59.282;92509134191.0;SIDNEI ZANELLA;b1.5;other;At-risk
8;BR-5102686;CAMPOS DE JULIO;MT;CERRADO;-13.7;-59.261;6080000000000.0;ARMAZENS GERAIS DELAZZERI LTDA;b1.4, b1.5;other;At-risk
9;BR-5102686;CAMPOS DE JULIO;MT;CERRADO;-13.971;-59.261;87862816153.0;SADI LUIZ PICCININ JUNIOR;b1.5;other;At-risk
10;BR-5102686;CAMPOS DE JULIO;MT;CERRADO;-14.297;-59.248;22429271915.0;ELIO ADANIR GIONGO;b1.5;other;At-risk
11;BR-5102686;CAMPOS DE JULIO;MT;CERRADO;-14.023;-59.212;33265364968.0;JACI JOSE NICARETTA;b1.5;other;At-risk
12;BR-5102686;CAMPOS DE JULIO;MT;CERRADO;-14.106;-59.201;6465307987.0;LUZ ANISIO BORTOLUZZI;b1.5;other;At-risk
13;BR-5102686;CAMPOS DE JULIO;MT;CERRADO;-14.044;-59.188;80538134968.0;MARCELO HENRIQUE ZANCHET;b1.5;other;At-risk
14;BR-5102686;CAMPOS DE JULIO;MT;CERRADO;-13.989;-59.177;24261521091.0;LUIZ TADEU GARCIA TATIM;b1.5;other;At-risk
15;BR-5102686;CAMPOS DE JULIO;MT;CERRADO;-13.683;-59.148;10600000000000.0;MASCARELLO ARMAZENS GERAIS LTDA;b1.5;other;At-risk
16;BR-5102686;CAMPOS DE JULIO;MT;CERRADO;-13.429;-59.089;8280000000000.0;URAI ARMAZENS GERAIS LTDA;b1.5;other;At-risk
17;BR-5107875;SAPEZAL;MT;CERRADO;-13.703;-58.958;10513000968.0;ALMIR MASSAROLI;b1.5;other;At-risk
18;BR-5107875;SAPEZAL;MT;CERRADO;-13.3;-58.806;2890000000000.0;AGROPECUARIA TREMONHA LTDA;b1.4, b1.5;other;At-risk
19;BR-5107875;SAPEZAL;MT;CERRADO;-13.445;-58.8;5593255091.0;RICARDO ROBERTO;b1.5;other;At-risk
20;BR-5107875;SAPEZAL;MT;CERRADO;-13.526;-58.8;14569655904.0;PEDRO MUFFATO;b1.5;other;At-risk
21;BR-5107875;SAPEZAL;MT;CERRADO;-13.534;-58.798;10400000000000.0;BOM FUTURO AGRICOLA LTDA;b1.4, b1.5;other;At-risk
22;BR-5107875;SAPEZAL;MT;CERRADO;-13.414;-58.769;10400000000000.0;BOM FUTURO AGRICOLA LTDA;b1.4, b1.5;other;At-risk
23;BR-5107875;SAPEZAL;MT;CERRADO;-13.525;-58.572;15000000000000.0;SEMENTES TANGARA LTDA;b1.4, b1.5;other;At-risk
24;BR-5103205;COLIDER;MT;AMAZON;-10.792;-55.467;21400000000000.0;FERTIGRAOS LTDA  EPP;b1.4;other;At-risk
25;BR-5107909;SINOP;MT;AMAZON;-11.514;-55.374;62103822900.0;SERGIO ANTONIO MARCON;b1.5;other;At-risk
26;BR-5103056;CLAUDIA;MT;AMAZON;-11.375;-55.341;17000000000000.0;AGRO SEEDS ARMAZENS GERAIS LTDA  EPP;b1.4;other;At-risk
27;BR-5106190;NOVA SANTA HELENA;MT;AMAZON;-10.818;-55.176;6320000000000.0;COFCO INTERNATIONAL BRASIL SA;b1.1, b1.2;COFCO;At-risk
28;BR-5106265;NOVO MUNDO;MT;AMAZON;-9.745;-55.16;6320000000000.0;COFCO INTERNATIONAL BRASIL SA;b1.1, b1.2;COFCO;At-risk
29;BR-5105606;MATUPA;MT;AMAZON;-10.12;-54.932;77300000000000.0;AMAGGI EXPORTACAO E IMPORTACAO LTDA;b1.1, b1.2, b1.5, b2.1, b2.2, b2.4;AMAGGI;At-risk
30;BR-1506807;SANTAREM;PA;AMAZON;-2.679336298;-55.23845546;5990000000000.0;INDUSTRIA E COMERCIO DE ARROZ LONDRINA LTDA;b1.4;other;At-risk
31;BR-1506807;SANTAREM;PA;AMAZON;-2.418;-54.736;60500000000000.0;CARGILL AGRICOLA SA;b1.1, b1.2;CARGIL;At-risk
